"Country","Country.Code","Year","GDP_growth_rate","Event"
"China","CHN",2008,9.65067891934387,"Financial Crisis"
"Indonesia","IDN",2008,6.01370360009123,"Financial Crisis"
"India","IND",2008,3.08669805953289,"Financial Crisis"
"Japan","JPN",2008,-1.22428900072828,"Financial Crisis"
"Korea, Rep.","KOR",2008,3.01298487281167,"Financial Crisis"
"Malaysia","MYS",2008,4.83176988913097,"Financial Crisis"
"Saudi Arabia","SAU",2008,6.24977275479299,"Financial Crisis"
"Thailand","THA",2008,1.72569884866334,"Financial Crisis"
"China","CHN",2009,9.39872563258297,"Financial Crisis"
"Indonesia","IDN",2009,4.62887118256153,"Financial Crisis"
"India","IND",2009,7.86188883303498,"Financial Crisis"
"Japan","JPN",2009,-5.69323635882266,"Financial Crisis"
"Korea, Rep.","KOR",2009,0.792698989518186,"Financial Crisis"
"Malaysia","MYS",2009,-1.51352871598714,"Financial Crisis"
"Saudi Arabia","SAU",2009,-2.05924918993833,"Financial Crisis"
"Thailand","THA",2009,-0.690618232300579,"Financial Crisis"
"China","CHN",2019,5.9505007536746,"COVID-19 Pandemic"
"Indonesia","IDN",2019,5.01928768046282,"COVID-19 Pandemic"
"India","IND",2019,3.73791851955785,"COVID-19 Pandemic"
"Japan","JPN",2019,-0.240350840922716,"COVID-19 Pandemic"
"Korea, Rep.","KOR",2019,2.24397786011012,"COVID-19 Pandemic"
"Malaysia","MYS",2019,4.41319020769681,"COVID-19 Pandemic"
"Saudi Arabia","SAU",2019,0.33378075529167,"COVID-19 Pandemic"
"Thailand","THA",2019,2.15165612180819,"COVID-19 Pandemic"
"China","CHN",2020,2.23970185692298,"COVID-19 Pandemic"
"Indonesia","IDN",2020,-2.06500494092904,"COVID-19 Pandemic"
"India","IND",2020,-6.59608052232176,"COVID-19 Pandemic"
"Japan","JPN",2020,-4.50690454226634,"COVID-19 Pandemic"
"Korea, Rep.","KOR",2020,-0.709415359397681,"COVID-19 Pandemic"
"Malaysia","MYS",2020,-5.53445621762532,"COVID-19 Pandemic"
"Saudi Arabia","SAU",2020,-4.13767037552624,"COVID-19 Pandemic"
"Thailand","THA",2020,-6.19548915958073,"COVID-19 Pandemic"
"World","WLD",2008,2.06917577064551,"Financial Crisis"
"World","WLD",2009,-1.3414481452582,"Financial Crisis"
"World","WLD",2019,2.59141986090575,"COVID-19 Pandemic"
"World","WLD",2020,-3.11474198112978,"COVID-19 Pandemic"
